22255403,0,512.000000,862.000000,30.000000,30.000000
23296546,0,486.000000,849.000000,30.000000,30.000000
25338989,0,403.000000,774.000000,30.000000,30.000000
27365593,0,301.000000,610.000000,30.000000,30.000000
29385506,0,283.000000,473.000000,30.000000,30.000000
30405599,0,327.000000,289.000000,30.000000,30.000000
32437889,0,396.000000,180.000000,30.000000,30.000000
34480629,0,510.000000,148.000000,30.000000,30.000000
36513046,0,570.000000,188.000000,30.000000,30.000000
37524331,0,599.000000,289.000000,30.000000,30.000000
39560798,0,617.000000,414.000000,30.000000,30.000000
41600619,0,618.000000,437.000000,30.000000,30.000000
43621805,0,647.000000,353.000000,30.000000,30.000000
44638022,0,716.000000,206.000000,30.000000,30.000000
46678087,0,816.000000,132.000000,30.000000,30.000000
48717991,0,938.000000,145.000000,30.000000,30.000000
50740587,0,1030.000000,231.000000,30.000000,30.000000
52763163,0,1066.000000,408.000000,30.000000,30.000000
55797048,0,978.000000,580.000000,30.000000,30.000000
56818388,0,892.000000,643.000000,30.000000,30.000000
57829514,0,782.000000,713.000000,30.000000,30.000000
60873189,0,638.000000,786.000000,30.000000,30.000000
62895867,0,572.000000,854.000000,30.000000,30.000000
